Sample Name,COO,NFKB2,NFKBIA,RELA,MYD88,REL,RELB,TNF,CXCL1,CXCL2,CCL5,CXCL5,CCL7,IL10,IL12A,IL12B,TGFB1,TGFB2,TGFB3,IL6,IL1A,IL1B
DB,GCB,2.150537815,1.591846674,1.691899966,2.162005002,3.073500951,2.014516784,0.910395073,0.566961229,0.967122698,0.788809979,0.788809979,0.920379294,-0.024103378,-0.546982123,0.151987881,2.046673085,1.254650223,1.474207176,1.250054471,1.684317522,1.143213957
DOHH2,GCB,2.865024284,2.790919112,1.881147085,2.199696039,2.601964221,2.149515413,1.346510345,1.018538721,1.602869945,1.742486697,1.231258875,1.867589412,0.574841222,1.133816312,1.631746073,2.373721957,2.258488529,2.159925776,1.912854784,1.774718238,1.611824788
FARAGE,GCB,3.129844873,2.520541725,1.714952227,2.339498366,3.400044601,2.636902448,2.609300401,1.056993278,1.886827001,1.854587994,1.25024023,1.826305668,1.846139913,0.478163127,1.601742569,1.761652811,2.008042431,1.934908623,1.853826741,1.964239225,1.793433562
HBL1,ABC,2.634688997,2.384170921,1.799647604,2.419369285,2.852770563,2.20556264,1.519886749,0.483257853,1.283974932,1.653519569,0.590467823,1.683013031,1.631860508,0.261409104,1.469133211,1.684108351,1.772846806,1.534024165,1.209169486,1.467334887,1.526226927
KARPAS422,GCB,1.501096255,1.86436162,1.632546276,2.232419605,2.534544308,1.006574127,3.012595919,1.22181751,1.808637535,1.074689947,1.452559973,1.293022123,-0.416671747,0.342996098,0.826366302,1.93260578,1.970718079,1.638324114,1.623732782,1.621749699,1.65521026
OCILY1,GCB,2.031627177,2.000475732,1.48238653,2.080576719,2.751145622,1.931042991,1.587621932,0.509538776,1.374840202,0.904838689,0.624493292,0.823533749,1.281059448,0.593084828,0.883119439,2.027653732,1.409326128,1.528843931,1.32748457,1.04410328,1.221473758
OCILY18,GCB,2.153322515,2.175784784,1.874048043,2.211035502,3.104385998,1.802995166,1.446346856,0.761046762,1.530964695,1.413579096,1.08876536,1.461238411,-0.1871216,0.59102965,1.496375718,1.842769235,1.468496984,1.246248147,1.767723678,1.467295615,1.464882862
OCILY19,GCB,2.175763441,2.344109116,1.772582597,2.16239948,2.673411987,1.586668427,1.589850086,0.438406262,1.076378809,1.638766096,0.578068255,0.83334076,-0.178893696,1.610485534,0.298227559,2.460735068,1.330116703,1.495836258,0.895086356,1.119023064,1.575891336
OCILY7,GCB,2.188537594,2.208288355,1.949776126,2.313702467,2.805494224,2.184599075,1.748676791,1.65651547,2.2489731,1.862684015,1.811930477,2.05711673,-0.015582388,1.098360964,2.036213057,2.182157498,2.391146986,2.308013435,2.360588876,2.061987374,2.231298999
OCILY8,GCB,1.858530355,1.861950014,1.37274026,2.144718693,2.602570675,1.897889603,0.726476606,0.154379838,0.668484659,0.702564449,0.300507874,0.057469825,-0.419651429,0.455409834,0.522356624,1.855083556,1.208737501,1.21128469,0.710682339,1.127507692,1.30462444
RCK8,ABC,3.261827341,3.191770177,1.76098322,1.958757575,2.705651132,2.6872519,3.011994048,1.093456149,1.927078768,1.59839065,1.267243453,0.94247561,0.5728692,1.014274903,1.684167096,1.666106511,2.129489052,1.763937615,1.817211438,1.822389377,1.758754158
RIVA,ABC,2.416531216,2.193554619,1.556486949,2.233180559,3.198145719,2.294715509,1.488652213,0.502129287,1.196246788,0.971132651,0.854311805,0.971132651,0.450976764,0.694014813,0.678220546,1.927645393,1.191339454,1.738218475,1.244679862,0.914309734,1.14722391
SUDHL10,GCB,2.442751861,2.232150835,1.947667392,2.404162708,2.707707627,2.253852944,2.690034364,1.249598414,2.013259128,2.157722135,1.592430035,2.227677174,-0.33698889,0.469191084,2.186757576,1.962300444,2.24256607,2.427784827,2.176495066,2.171675473,2.17462713
SUDHL16,GCB,2.416641531,1.861292476,1.634567876,2.64716701,2.834840141,1.986750394,1.504934018,0.16953512,0.758630135,1.085214235,0.687274226,0.337026208,2.116622699,0.518869796,0.457600139,1.782318977,0.898127591,0.925857933,0.687274226,0.717237449,0.745266173
SUDHL2,ABC,2.785260835,3.354844176,1.821315974,2.335109408,2.883929233,2.502590658,2.282910466,1.202062061,1.887459258,1.70196053,1.412401164,1.542963569,2.045725996,1.822117995,1.137336731,1.858234003,2.055198443,1.83084384,1.665610508,1.41445457,1.343391214
SUDHL4,GCB,2.340537833,1.655631642,1.630634825,2.158243903,3.396836674,2.230545323,1.924986258,0.416258547,1.149597453,-0.001277018,0.857907484,0.40329357,-0.33706912,0.206998925,-0.638099115,1.965766677,1.489005683,0.88477963,0.640654486,1.008631271,0.537992144
SUDHL6,GCB,2.668352267,2.132486148,1.68613646,2.1155004,3.089785041,2.13462261,2.127700485,0.47328327,0.908649777,0.763317882,0.763317882,0.578793455,0.251434521,0.362584973,0.462287886,1.944941629,0.99179721,0.734546139,0.857995013,0.552464516,0.649374529
TMD8,ABC,2.480908965,3.128434484,1.874153852,2.359930126,2.846153101,2.332700472,2.173870589,1.392286162,1.947349591,1.760944194,1.574171612,1.95088046,1.906974974,1.923671492,1.444674232,2.050594644,1.830025113,1.941549989,2.015686933,1.482462793,1.569965337
TOLEDO,GCB,2.545446927,2.836597134,1.535452261,2.393326968,2.069894737,2.474231344,1.24126169,0.777504397,1.569683769,0.871774314,1.198509709,0.777504397,-0.439979548,-0.087797029,1.128222177,2.001322739,2.136073713,1.367893584,1.498289936,1.343566735,1.02241845
U2932,ABC,2.390324533,2.10665608,1.733038133,2.116388576,2.8160798,2.219746852,2.349166538,1.059483725,1.899325489,1.63806262,1.469149946,1.876248166,1.897337868,0.586910098,1.781597845,1.79103008,1.864232744,2.058568457,1.850398221,1.426152393,1.620836218
WSU_DLCL2,GCB,2.410960006,2.094897608,1.892978616,2.377226102,2.99097301,2.089345831,2.614201064,0.976923652,1.927495011,1.809626057,1.190803471,1.798853826,0.060469703,0.198772401,1.798853826,1.761605769,1.904791524,2.037621492,1.894572359,1.599859485,1.842225078